,post_id,score,user_id,view_count,comment_count,reputation,views,up_votes,down_votes
363,22075789,0,47775.0,18,0,32515,2845,639,66
370,37746794,0,39643.0,10,0,17053,1417,1430,283
371,37597279,0,39643.0,13,0,17053,1417,1430,283
374,33428716,0,1076743.0,17,0,7425,1225,454,121
375,15036385,0,1076743.0,16,0,7425,1225,454,121
383,36179316,0,2287576.0,13,3,10099,2099,2718,13
384,36320031,0,2287576.0,20,0,10099,2099,2718,13
385,36287093,0,2287576.0,17,2,10099,2099,2718,13
386,37114640,2,2287576.0,18,1,10099,2099,2718,13
387,36130680,0,2287576.0,15,0,10099,2099,2718,13
388,36061045,0,2287576.0,19,3,10099,2099,2718,13
389,37461297,0,2287576.0,20,2,10099,2099,2718,13
390,35135816,0,2287576.0,20,0,10099,2099,2718,13
391,35058972,0,2287576.0,19,1,10099,2099,2718,13
392,36086537,0,2287576.0,19,4,10099,2099,2718,13
393,37163849,0,2287576.0,20,3,10099,2099,2718,13
394,37120096,0,2287576.0,11,0,10099,2099,2718,13
395,37622851,0,2287576.0,18,4,10099,2099,2718,13
396,37634638,0,2287576.0,9,2,10099,2099,2718,13
399,20458662,0,2413722.0,19,6,4932,310,1791,56
418,35601773,0,5871859.0,9,1,1290,374,176,170
428,33304462,0,1019952.0,20,0,13079,855,471,16
429,34041866,0,1019952.0,9,0,13079,855,471,16
430,37499742,1,1019952.0,17,7,13079,855,471,16
446,32864875,0,67316.0,17,0,7244,388,979,96
457,36445618,1,11898.0,17,0,50053,2456,1573,48
458,26648659,1,11898.0,16,0,50053,2456,1573,48
467,36114490,0,48886.0,19,0,18150,1265,142,21
468,33688028,0,1000.0,14,0,9168,2366,2628,12
473,37613295,0,2762432.0,12,3,2415,190,225,87
474,35204863,0,2762432.0,9,0,2415,190,225,87
479,37206647,0,2500842.0,11,0,3652,695,313,159
480,37305383,0,2500842.0,17,0,3652,695,313,159
523,36953621,0,6068.0,11,0,244872,11737,934,98
524,33842576,0,6068.0,6,0,244872,11737,934,98
525,37330755,0,6068.0,10,0,244872,11737,934,98
526,29285164,1,6068.0,17,0,244872,11737,934,98
527,37093383,1,6068.0,11,0,244872,11737,934,98
528,37257134,1,6068.0,18,0,244872,11737,934,98
529,36912191,0,6068.0,19,0,244872,11737,934,98
533,36383540,0,26107.0,17,4,17578,821,373,11
535,28997927,0,2154163.0,18,0,850,167,38,321
542,35155919,2,789657.0,13,0,13685,4473,920,778
551,33067682,0,15371.0,18,0,23009,1374,2474,595
552,30827959,1,15371.0,17,0,23009,1374,2474,595
553,34655850,0,15371.0,19,0,23009,1374,2474,595
562,36766631,0,325900.0,18,1,5897,1024,1018,1224
563,34131406,0,325900.0,14,1,5897,1024,1018,1224
569,37466249,0,37947.0,19,0,58371,3667,2248,574
584,34004091,0,5045227.0,18,5,5875,654,279,133
585,37762861,0,5045227.0,6,0,5875,654,279,133
586,34471653,0,5045227.0,15,0,5875,654,279,133
587,37332044,0,5045227.0,6,0,5875,654,279,133
588,35531842,1,5045227.0,18,0,5875,654,279,133
589,34379636,0,5045227.0,16,0,5875,654,279,133
590,37735653,0,5045227.0,16,0,5875,654,279,133
597,36116684,0,2452680.0,18,0,4411,1332,312,1
598,36550069,0,2452680.0,20,0,4411,1332,312,1
599,35673593,0,2452680.0,15,0,4411,1332,312,1
606,34476742,0,191463.0,18,0,50154,2531,498,197
607,36572155,1,191463.0,12,1,50154,2531,498,197
611,34271094,0,1905469.0,18,0,74,68,1945,0
612,33922987,0,478144.0,20,7,32356,3009,403,7
613,36131376,0,478144.0,18,2,32356,3009,403,7
614,36845567,0,478144.0,14,0,32356,3009,403,7
620,35601524,0,1124744.0,13,0,4874,769,1607,81
621,31167343,0,1124744.0,14,0,4874,769,1607,81
622,35243063,0,1124744.0,10,1,4874,769,1607,81
627,36970705,-1,3310334.0,17,0,6600,1435,779,114
629,35855776,0,777510.0,15,0,5130,455,521,149
630,30875766,0,777510.0,12,0,5130,455,521,149
641,31515621,0,4654199.0,19,0,1085,184,169,60
666,37213268,0,2120261.0,15,0,23011,1014,3851,23
667,23653190,1,2120261.0,20,0,23011,1014,3851,23
675,36648652,0,1125402.0,8,0,5903,381,1197,29
687,35563832,1,28901.0,19,0,16971,549,1188,29
701,28411641,0,463978.0,20,3,2048,176,1260,2
703,33754832,1,199111.0,16,0,2800,121,1171,4
722,36176739,0,436028.0,20,0,27495,2924,984,50
723,36691114,1,436028.0,19,0,27495,2924,984,50
728,33904826,0,400691.0,15,7,6761,715,1869,50
745,36282540,0,4631427.0,20,0,6616,1286,1200,1014
748,36895839,0,381158.0,16,1,836,166,2095,0
749,36340455,0,381158.0,17,0,836,166,2095,0
763,25726485,0,978756.0,18,2,24264,4086,837,760
764,37252735,0,180430.0,15,0,12785,1059,4846,320
797,31655571,0,429427.0,13,0,33292,1177,2480,189
804,30871945,0,16511.0,15,0,64812,5111,2549,272
823,33589074,0,5457408.0,20,1,817,109,50,90
824,34989087,0,450456.0,19,0,7746,3598,256,50
825,4142174,0,450456.0,15,0,7746,3598,256,50
832,31612292,0,1153938.0,10,0,27009,1539,626,355
834,37393059,0,33051.0,15,0,25258,3293,3037,32
857,25306834,1,898289.0,12,1,30700,1893,635,98
861,35106627,1,275501.0,20,0,26898,408,66,6
862,37379076,0,276193.0,17,0,13076,809,1697,46
879,28830708,0,289666.0,13,0,30881,995,278,46
893,36012966,0,507674.0,18,4,287170,23103,1417,1686
896,37659593,0,31751.0,15,0,20634,1137,640,1
898,34933952,0,2283946.0,15,0,5659,1072,540,558
899,35913125,1,2283946.0,16,1,5659,1072,540,558
911,14520818,0,962144.0,16,0,4165,308,371,56
912,35015334,0,285190.0,18,0,6343,531,1524,52
913,36471428,0,285190.0,10,0,6343,531,1524,52
919,35163431,0,1185534.0,18,0,4991,445,685,72
941,33375247,0,14357.0,12,1,99633,8970,2418,1498
942,13199838,0,14357.0,20,0,99633,8970,2418,1498
947,37410831,0,699224.0,16,0,38974,3950,1754,812
950,33632499,0,178757.0,13,0,21285,1388,515,74
960,37544056,1,274.0,20,0,36943,1983,650,16
961,35012155,0,274.0,18,0,36943,1983,650,16
965,25159341,0,3189.0,17,0,14293,743,1880,18
975,30850819,0,56672.0,15,0,9925,1209,808,55
976,34573995,0,1822164.0,20,1,19545,2847,787,623
986,31927569,0,32484.0,19,1,54973,3228,117,10
989,34557621,0,1238867.0,6,0,5574,416,1111,89
993,33372277,0,13744.0,12,0,48044,3407,7886,1046
1003,37482402,1,1700106.0,16,10,1877,216,1203,3
1012,31383988,0,153422.0,12,0,31601,2998,1176,102
1015,29264697,0,84539.0,17,2,34029,2350,580,17
1016,32074632,1,509706.0,19,2,23569,1575,1908,18
1018,26841113,0,3436942.0,19,0,20885,2563,1365,759
1020,23250914,0,1641422.0,20,0,13415,634,69,10
1027,15047053,0,156755.0,16,4,24254,5441,3901,294
1028,31291218,0,15825.0,19,0,21815,1305,2100,28
1034,30461043,0,637609.0,15,1,5206,567,1095,14
1060,34719924,0,410636.0,16,0,42200,3858,1793,796
