,user_id,reputation,views,up_votes,down_votes,post_id,score,view_count,comment_count
912,28901,16971,549,1188,29,35563832,1,19,0
913,898289,30700,1893,635,98,25306834,1,12,1
914,1019952,13079,855,471,16,33304462,0,20,0
915,1019952,13079,855,471,16,34041866,0,9,0
916,1019952,13079,855,471,16,37499742,1,17,7
937,507674,287170,23103,1417,1686,36012966,0,18,4
945,683553,36082,1723,1262,11,22179082,0,14,2
946,683553,36082,1723,1262,11,31927733,0,12,0
947,683553,36082,1723,1262,11,37471953,0,19,0
948,683553,36082,1723,1262,11,30404261,0,15,0
949,683553,36082,1723,1262,11,32661087,-1,19,3
956,47775,32515,2845,639,66,22075789,0,18,0
960,978756,24264,4086,837,760,25726485,0,18,2
963,2541,13009,3873,1943,270,29386926,0,20,2
975,429427,33292,1177,2480,189,31655571,0,13,0
978,1641422,13415,634,69,10,23250914,0,20,0
0,450456,7746,3598,256,50,34989087,0,19,0
1,450456,7746,3598,256,50,4142174,0,15,0
17,126280,11837,1054,40,2,30482433,0,19,2
18,126280,11837,1054,40,2,26022165,0,16,2
19,126280,11837,1054,40,2,25078765,0,20,2
20,126280,11837,1054,40,2,37462148,0,13,1
21,126280,11837,1054,40,2,32913070,0,20,0
30,37947,58371,3667,2248,574,37466249,0,19,0
31,1076743,7425,1225,454,121,33428716,0,17,0
32,1076743,7425,1225,454,121,15036385,0,16,0
33,15825,21815,1305,2100,28,31291218,0,19,0
44,789657,13685,4473,920,778,35155919,2,13,0
47,4675736,7409,1285,341,1,37632930,0,10,0
48,4675736,7409,1285,341,1,35196642,0,16,0
49,4675736,7409,1285,341,1,35539032,0,16,1
50,4675736,7409,1285,341,1,37466014,0,13,1
51,4675736,7409,1285,341,1,37641151,0,17,1
52,4675736,7409,1285,341,1,37562121,0,9,0
53,4675736,7409,1285,341,1,37549204,1,16,3
54,2452680,4411,1332,312,1,36116684,0,18,0
55,2452680,4411,1332,312,1,36550069,0,20,0
56,2452680,4411,1332,312,1,35673593,0,15,0
95,6068,244872,11737,934,98,36953621,0,11,0
96,6068,244872,11737,934,98,33842576,0,6,0
97,6068,244872,11737,934,98,37330755,0,10,0
98,6068,244872,11737,934,98,29285164,1,17,0
99,6068,244872,11737,934,98,37093383,1,11,0
100,6068,244872,11737,934,98,37257134,1,18,0
101,6068,244872,11737,934,98,36912191,0,19,0
104,38522,42081,3297,2329,269,35154609,0,18,2
105,38522,42081,3297,2329,269,24763792,0,19,1
106,38522,42081,3297,2329,269,33542204,0,13,0
107,38522,42081,3297,2329,269,32889015,0,7,0
108,38522,42081,3297,2329,269,33732365,0,13,0
109,38522,42081,3297,2329,269,34335316,0,18,0
110,38522,42081,3297,2329,269,37055352,2,20,4
111,38522,42081,3297,2329,269,34162465,1,19,1
112,38522,42081,3297,2329,269,31853183,0,15,0
113,38522,42081,3297,2329,269,37729403,0,15,2
114,38522,42081,3297,2329,269,31304513,0,18,2
115,38522,42081,3297,2329,269,28127067,0,12,0
116,38522,42081,3297,2329,269,32507199,0,16,0
117,38522,42081,3297,2329,269,33018072,-1,19,1
118,38522,42081,3297,2329,269,36920582,0,14,1
119,38522,42081,3297,2329,269,32328862,-1,18,2
120,38522,42081,3297,2329,269,32850215,0,17,0
121,38522,42081,3297,2329,269,36846139,0,6,0
122,38522,42081,3297,2329,269,31301174,-1,10,1
142,509706,23569,1575,1908,18,32074632,1,19,2
168,404568,11753,1003,373,67,30335961,1,19,11
169,404568,11753,1003,373,67,35212468,0,14,0
170,404568,11753,1003,373,67,28997904,0,19,0
177,3436942,20885,2563,1365,759,26841113,0,19,0
185,2283946,5659,1072,540,558,34933952,0,15,0
186,2283946,5659,1072,540,558,35913125,1,16,1
204,1822164,19545,2847,787,623,34573995,0,20,1
205,3310334,6600,1435,779,114,36970705,-1,17,0
244,1084416,19698,4817,3191,2692,35725444,0,10,0
246,180430,12785,1059,4846,320,37252735,0,15,0
247,1153938,27009,1539,626,355,31612292,0,10,0
249,191463,50154,2531,498,197,34476742,0,18,0
250,191463,50154,2531,498,197,36572155,1,12,1
291,15371,23009,1374,2474,595,33067682,0,18,0
292,15371,23009,1374,2474,595,30827959,1,17,0
293,15371,23009,1374,2474,595,34655850,0,19,0
294,156755,24254,5441,3901,294,15047053,0,16,4
306,13744,48044,3407,7886,1046,33372277,0,12,0
313,436028,27495,2924,984,50,36176739,0,20,0
314,436028,27495,2924,984,50,36691114,1,19,0
315,14357,99633,8970,2418,1498,33375247,0,12,1
316,14357,99633,8970,2418,1498,13199838,0,20,0
321,16511,64812,5111,2549,272,30871945,0,15,0
326,2120261,23011,1014,3851,23,37213268,0,15,0
327,2120261,23011,1014,3851,23,23653190,1,20,0
329,2268437,1590,1116,275,10,37296906,0,20,0
330,3697264,3760,1235,335,84,34963793,0,18,0
331,3697264,3760,1235,335,84,33799179,0,18,2
332,3697264,3760,1235,335,84,36007723,0,18,0
333,3697264,3760,1235,335,84,37011645,0,20,0
334,3697264,3760,1235,335,84,33786244,0,20,3
335,3697264,3760,1235,335,84,36196525,0,20,0
336,3697264,3760,1235,335,84,37633369,0,18,0
337,3697264,3760,1235,335,84,36448966,0,10,0
338,3697264,3760,1235,335,84,37321993,0,20,0
339,3697264,3760,1235,335,84,35841476,1,17,0
340,3697264,3760,1235,335,84,36641650,0,10,0
341,3697264,3760,1235,335,84,36624645,0,13,0
342,274,36943,1983,650,16,37544056,1,20,0
343,274,36943,1983,650,16,35012155,0,18,0
386,69346,8442,1039,207,42,22982377,0,13,2
398,21061,29247,2460,1600,484,27375605,0,19,3
399,21061,29247,2460,1600,484,35343186,2,17,0
400,21061,29247,2460,1600,484,37149731,0,13,2
401,84539,34029,2350,580,17,29264697,0,17,2
438,699224,38974,3950,1754,812,37410831,0,16,0
471,102441,81684,6553,2603,740,35397328,0,17,0
472,102441,81684,6553,2603,740,36923309,0,14,0
473,102441,81684,6553,2603,740,35873641,1,19,0
474,102441,81684,6553,2603,740,35566927,0,13,2
505,4631427,6616,1286,1200,1014,36282540,0,20,0
590,153422,31601,2998,1176,102,31383988,0,12,0
592,1006010,56330,2751,5581,1,33078084,1,12,1
595,41169,5056,1073,740,5,36361949,0,12,0
596,41169,5056,1073,740,5,36520109,0,8,0
600,11898,50053,2456,1573,48,36445618,1,17,0
601,11898,50053,2456,1573,48,26648659,1,16,0
608,410636,42200,3858,1793,796,34719924,0,16,0
613,1000,9168,2366,2628,12,33688028,0,14,0
641,48886,18150,1265,142,21,36114490,0,19,0
642,2298137,9967,1025,793,26,33479410,0,19,0
646,33051,25258,3293,3037,32,37393059,0,15,0
650,178757,21285,1388,515,74,33632499,0,13,0
655,141022,14329,1086,2562,17,24939395,0,19,0
656,141022,14329,1086,2562,17,35887536,0,15,0
675,39643,17053,1417,1430,283,37746794,0,10,0
676,39643,17053,1417,1430,283,37597279,0,13,0
677,271907,8501,1026,654,41,34677763,0,17,2
678,271907,8501,1026,654,41,37185140,1,18,0
679,271907,8501,1026,654,41,35011617,0,18,1
680,271907,8501,1026,654,41,34654772,0,11,1
681,271907,8501,1026,654,41,17422598,1,16,0
682,271907,8501,1026,654,41,37542543,0,6,0
683,271907,8501,1026,654,41,37394624,1,12,0
728,56672,9925,1209,808,55,30850819,0,15,0
731,1127699,12155,1828,259,32,31974416,0,19,0
732,2287576,10099,2099,2718,13,36179316,0,13,3
733,2287576,10099,2099,2718,13,36320031,0,20,0
734,2287576,10099,2099,2718,13,36287093,0,17,2
735,2287576,10099,2099,2718,13,37114640,2,18,1
736,2287576,10099,2099,2718,13,36130680,0,15,0
737,2287576,10099,2099,2718,13,36061045,0,19,3
738,2287576,10099,2099,2718,13,37461297,0,20,2
739,2287576,10099,2099,2718,13,35135816,0,20,0
740,2287576,10099,2099,2718,13,35058972,0,19,1
741,2287576,10099,2099,2718,13,36086537,0,19,4
